24,"CPU(brand='AMD', model='A12-9800E', cores=4, base_clock=ClockSpeed(cycles=3100000000), boost_clock=ClockSpeed(cycles=3800000000), tdp=35, integrated_graphics='Radeon R7 (on-die)', multithreading=False, price=<Money: 177.45 USD>)"
25,"CPU(brand='AMD', model='A4-3300', cores=2, base_clock=ClockSpeed(cycles=2500000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6410D', multithreading=False, price=<Money: 0.00 USD>)"
26,"CPU(brand='AMD', model='A4-3300', cores=2, base_clock=ClockSpeed(cycles=2500000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6410D', multithreading=False, price=<Money: 85.00 USD>)"
27,"CPU(brand='AMD', model='A4-3400', cores=2, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6410D', multithreading=False, price=<Money: 149.94 USD>)"
28,"CPU(brand='AMD', model='A4-3400', cores=2, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6410D', multithreading=False, price=<Money: 0.00 USD>)"
29,"CPU(brand='AMD', model='A4-3420', cores=2, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6410D', multithreading=False, price=<Money: 0.00 USD>)"
30,"CPU(brand='AMD', model='A4-3450', cores=2, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
31,"CPU(brand='AMD', model='A4-4000', cores=2, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7480D', multithreading=False, price=<Money: 0.00 USD>)"
32,"CPU(brand='AMD', model='A4-4000', cores=2, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7480D', multithreading=False, price=<Money: 139.84 USD>)"
33,"CPU(brand='AMD', model='A4-4020', cores=2, base_clock=ClockSpeed(cycles=3200000000), boost_clock=ClockSpeed(cycles=3400000000), tdp=65, integrated_graphics='Radeon HD 7480D', multithreading=False, price=<Money: 0.00 USD>)"
34,"CPU(brand='AMD', model='A4-5300', cores=2, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7480D', multithreading=False, price=<Money: 0.00 USD>)"
35,"CPU(brand='AMD', model='A4-5300', cores=2, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7480D', multithreading=False, price=<Money: 93.74 USD>)"
36,"CPU(brand='AMD', model='A4-6300', cores=2, base_clock=ClockSpeed(cycles=3700000000), boost_clock=ClockSpeed(cycles=3900000000), tdp=65, integrated_graphics='Radeon HD 8370D', multithreading=False, price=<Money: 0.00 USD>)"
37,"CPU(brand='AMD', model='A4-6300B', cores=2, base_clock=ClockSpeed(cycles=3700000000), boost_clock=ClockSpeed(cycles=3900000000), tdp=65, integrated_graphics='Radeon HD 8370D', multithreading=False, price=<Money: 0.00 USD>)"
38,"CPU(brand='AMD', model='A4-6320', cores=2, base_clock=ClockSpeed(cycles=3800000000), boost_clock=ClockSpeed(cycles=4000000000), tdp=65, integrated_graphics='Radeon HD 8370D', multithreading=False, price=<Money: 0.00 USD>)"
39,"CPU(brand='AMD', model='A4-7300', cores=2, base_clock=ClockSpeed(cycles=3800000000), boost_clock=ClockSpeed(cycles=4000000000), tdp=65, integrated_graphics='Radeon HD 8470D', multithreading=False, price=<Money: 135.00 USD>)"
40,"CPU(brand='AMD', model='A6-3500', cores=3, base_clock=ClockSpeed(cycles=2100000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 6530D', multithreading=False, price=<Money: 0.00 USD>)"
41,"CPU(brand='AMD', model='A6-3650', cores=4, base_clock=ClockSpeed(cycles=2600000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 6530D', multithreading=False, price=<Money: 0.00 USD>)"
42,"CPU(brand='AMD', model='A6-3670K', cores=4, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=100, integrated_graphics='Radeon HD 6530D', multithreading=False, price=<Money: 0.00 USD>)"
43,"CPU(brand='AMD', model='A6-5400K', cores=2, base_clock=ClockSpeed(cycles=3600000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 7540D', multithreading=False, price=<Money: 124.74 USD>)"
44,"CPU(brand='AMD', model='A6-6400K', cores=2, base_clock=ClockSpeed(cycles=3900000000), boost_clock=None, tdp=65, integrated_graphics='Radeon HD 8470D', multithreading=False, price=<Money: 0.00 USD>)"
